material_id,cif,formula_pretty,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,cbm,vbm,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites
1183005,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.89078400
_cell_length_b   6.67292200
_cell_length_c   11.13631400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag8 Se4'
_cell_volume   363.44274085
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.54635300  0.02826200  0.14824500  1
  Ag  Ag1  1  0.04635300  0.47173800  0.85175500  1
  Ag  Ag2  1  0.45364700  0.52826200  0.35175500  1
  Ag  Ag3  1  0.95364700  0.97173800  0.64824500  1
  Ag  Ag4  1  0.51706100  0.69320900  0.74926600  1
  Ag  Ag5  1  0.01706100  0.80679100  0.25073400  1
  Ag  Ag6  1  0.48293900  0.19320900  0.75073400  1
  Ag  Ag7  1  0.98293900  0.30679100  0.24926600  1
  Se  Se8  1  0.44979200  0.94316100  0.58151800  1
  Se  Se9  1  0.94979200  0.55683900  0.41848200  1
  Se  Se10  1  0.55020800  0.44316100  0.91848200  1
  Se  Se11  1  0.05020800  0.05683900  0.08151800  1
",Ag2Se,-19.08884599,-0.081074481,0.052263529,1.7115,1.5767,-0.1348,-0.13493606,0.0009395,2.59E-06,0.000234875,0,0
1229100,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.55316454
_cell_length_b   4.55316454
_cell_length_c   4.55316454
_cell_angle_alpha   60.77700838
_cell_angle_beta   60.77700838
_cell_angle_gamma   91.35117053
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag2 Se1'
_cell_volume   67.50954804
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.75000000  0.25000000  0.50000000  1
  Ag  Ag1  1  0.25000000  0.75000000  0.50000000  1
  Se  Se2  1  0.00000000  0.00000000  0.00000000  1
",Ag2Se,-19.1157659,-0.107994391,0.02534362,0.0908,2.5724,2.4816,2.48137756,0.0003142,4.65E-06,0.0003142,0,0
1247874,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.17579519
_cell_length_b   11.09443060
_cell_length_c   28.26444959
_cell_angle_alpha   124.24490651
_cell_angle_beta   104.00603449
_cell_angle_gamma   101.81105252
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag6 Se3'
_cell_volume   2316.66715920
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.51857743  0.49864017  0.67192841  1
  Ag  Ag1  1  0.73297661  0.50074699  0.74407897  1
  Ag  Ag2  1  0.50061311  0.50058886  0.33365069  1
  Ag  Ag3  1  0.75017290  0.25128467  0.50086933  1
  Ag  Ag4  1  0.62533704  0.99689862  0.12363686  1
  Ag  Ag5  1  0.62542682  0.37621827  0.00075454  1
  Se  Se6  1  0.99915702  0.99873990  -0.00009781  1
  Se  Se7  1  0.99874740  0.00038276  0.66677435  1
  Se  Se8  1  0.99899167  0.00149977  0.33340466  1
",Ag2Se,-16.76142671,2.246344798,2.379682809,0.0277,-4.2664,-4.2941,-4.28533742,9.0496851,0.003906338,3.0165617,7,9
2022604,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.98786558
_cell_length_b   7.17293000
_cell_length_c   4.88869115
_cell_angle_alpha   90.00418516
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00005099
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag8 Se4'
_cell_volume   245.03816682
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.44889484  0.92045531  0.25014088  1
  Ag  Ag1  1  0.05110166  0.07956525  0.75014917  1
  Ag  Ag2  1  0.82130325  0.10558333  0.24980998  1
  Ag  Ag3  1  0.94889684  0.57954369  0.74985912  1
  Ag  Ag4  1  0.32130425  0.39441667  0.75019002  1
  Ag  Ag5  1  0.67869612  0.89437043  0.74989443  1
  Ag  Ag6  1  0.17869612  0.60562857  0.25010557  1
  Ag  Ag7  1  0.55110166  0.42043475  0.24985083  1
  Se  Se8  1  0.71924177  0.28309344  0.75001677  1
  Se  Se9  1  0.28076235  0.78298585  0.75009782  1
  Se  Se10  1  0.21924077  0.21690756  0.24998323  1
  Se  Se11  1  0.78076235  0.71701515  0.24990318  1
",Ag2Se,-19.12899312,-0.121221613,0.012116398,0.1917,2.5314,2.3397,2.36322486,0,0,0,0,0
2047939,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.26546179
_cell_length_b   6.88321134
_cell_length_c   6.79806542
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag8 Se4'
_cell_volume   246.38423133
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.63216041  0.33416645  0.46281893  1
  Ag  Ag1  1  0.35255310  0.44659815  0.84280991  1
  Ag  Ag2  1  0.14744690  0.55340185  0.34280991  1
  Ag  Ag3  1  0.86783959  0.66583355  0.96281893  1
  Ag  Ag4  1  0.13216041  0.16583355  0.53718107  1
  Ag  Ag5  1  0.85255310  0.05340185  0.15719009  1
  Ag  Ag6  1  0.64744690  0.94659815  0.65719009  1
  Ag  Ag7  1  0.36783959  0.83416645  0.03718107  1
  Se  Se8  1  0.17979467  0.78527658  0.68322672  1
  Se  Se9  1  0.32020533  0.21472342  0.18322672  1
  Se  Se10  1  0.67979367  0.71472342  0.31677328  1
  Se  Se11  1  0.82020633  0.28527658  0.81677328  1
",Ag2Se,-19.14110952,-0.133338011,0,0,,,6.25982168,0,0,0,0,0
2275442,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.96881800
_cell_length_b   4.58224100
_cell_length_c   7.34844300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag4 Se2'
_cell_volume   133.63937640
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.50000000  0.00000000  0.10289600  1
  Ag  Ag1  1  0.00000000  0.50000000  0.61199200  1
  Ag  Ag2  1  0.50000000  0.50000000  0.89710400  1
  Ag  Ag3  1  0.00000000  0.00000000  0.38800800  1
  Se  Se4  1  0.50000000  0.50000000  0.29445100  1
  Se  Se5  1  0.50000000  0.00000000  0.70554900  1
",Ag2Se,-19.01537688,-0.007605372,0.125732638,0,2.4214,2.436,2.42872794,1.60E-06,1.20E-08,8.00E-07,0,0
32758,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.42962275
_cell_length_b   4.42962260
_cell_length_c   8.44530251
_cell_angle_alpha   108.27524817
_cell_angle_beta   108.27526016
_cell_angle_gamma   113.71197980
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag4 Se2'
_cell_volume   124.28562582
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.21346933  0.52534968  0.36940950  1
  Ag  Ag1  1  0.52534968  0.21346933  0.86940950  1
  Ag  Ag2  1  0.47465032  0.78653067  0.13059050  1
  Ag  Ag3  1  0.78653067  0.47465032  0.63059050  1
  Se  Se4  1  0.00000000  0.00000000  0.50000000  1
  Se  Se5  1  0.00000000  0.00000000  0.00000000  1
",Ag2Se,-19.09899802,-0.09122651,0.042111501,0,,,2.57313656,0,0,0,0,0
568889,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.58224100
_cell_length_b   7.34844300
_cell_length_c   7.93763600
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag8 Se4'
_cell_volume   267.27875279
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.00554400  0.10289600  0.24414600  1
  Ag  Ag1  1  0.99445600  0.10289600  0.75585400  1
  Ag  Ag2  1  0.50000000  0.60905200  0.00000000  1
  Ag  Ag3  1  0.49445600  0.89710400  0.24414600  1
  Ag  Ag4  1  0.00000000  0.39094800  0.00000000  1
  Ag  Ag5  1  0.00000000  0.38506700  0.50000000  1
  Ag  Ag6  1  0.50554400  0.89710400  0.75585400  1
  Ag  Ag7  1  0.50000000  0.61493300  0.50000000  1
  Se  Se8  1  0.51998100  0.29445100  0.25064900  1
  Se  Se9  1  0.48001900  0.29445100  0.74935100  1
  Se  Se10  1  0.01998100  0.70554900  0.74935100  1
  Se  Se11  1  0.98001900  0.70554900  0.25064900  1
",Ag2Se,-19.01488957,-0.007118066,0.126219944,0,,,2.43230933,0.0025804,9.65E-06,0.0006451,0,0
568936,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.44923146
_cell_length_b   7.07636613
_cell_length_c   7.66343481
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag8 Se4'
_cell_volume   241.27857649
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.01718622  0.23042118  0.87572678  1
  Ag  Ag1  1  0.68992999  0.88071636  0.94396101  1
  Ag  Ag2  1  0.48281378  0.76957882  0.37572678  1
  Ag  Ag3  1  0.18992999  0.61928364  0.05603899  1
  Ag  Ag4  1  0.81007001  0.11928364  0.44396101  1
  Ag  Ag5  1  0.98281378  0.73042118  0.62427322  1
  Ag  Ag6  1  0.31007001  0.38071636  0.55603899  1
  Ag  Ag7  1  0.51718622  0.26957882  0.12427322  1
  Se  Se8  1  0.87883811  0.49364383  0.33628724  1
  Se  Se9  1  0.12116189  0.99364383  0.16371276  1
  Se  Se10  1  0.37883811  0.00635617  0.66371276  1
  Se  Se11  1  0.62116189  0.50635617  0.83628724  1
",Ag2Se,-19.13879568,-0.131024173,0.002313838,0,,,3.05014521,0,0,0,0,0
568971,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97040300
_cell_length_b   7.14682900
_cell_length_c   7.77430800
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag8 Se4'
_cell_volume   276.16379120
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.25000000  0.25794900  0.97378600  1
  Ag  Ag1  1  0.75000000  0.74205100  0.02621400  1
  Ag  Ag2  1  0.25000000  0.61384800  0.21090600  1
  Ag  Ag3  1  0.75000000  0.75794900  0.52621400  1
  Ag  Ag4  1  0.75000000  0.11384800  0.28909400  1
  Ag  Ag5  1  0.75000000  0.38615200  0.78909400  1
  Ag  Ag6  1  0.25000000  0.88615200  0.71090600  1
  Ag  Ag7  1  0.25000000  0.24205100  0.47378700  1
  Se  Se8  1  0.75000000  0.51513800  0.28350400  1
  Se  Se9  1  0.75000000  0.98486200  0.78350400  1
  Se  Se10  1  0.25000000  0.01513800  0.21649600  1
  Se  Se11  1  0.25000000  0.48486200  0.71649600  1
",Ag2Se,-19.13434502,-0.126573511,0.006764499,0.9678,2.8131,1.8453,1.86872969,0.00047,1.70E-06,0.0001175,0,0
754954,"# generated using pymatgen
data_Ag2Se
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.67993500
_cell_length_b   7.38932800
_cell_length_c   7.79719600
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2Se
_chemical_formula_sum   'Ag8 Se4'
_cell_volume   269.63931619
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.99446700  0.36623300  0.45916200  1
  Ag  Ag1  1  0.51057800  0.83245500  0.28792700  1
  Ag  Ag2  1  0.48942200  0.33245500  0.21207300  1
  Ag  Ag3  1  0.00553300  0.86623300  0.04083800  1
  Ag  Ag4  1  0.49446700  0.13376700  0.54083800  1
  Ag  Ag5  1  0.01057800  0.66754500  0.71207300  1
  Ag  Ag6  1  0.98942200  0.16754500  0.78792700  1
  Ag  Ag7  1  0.50553300  0.63376700  0.95916200  1
  Se  Se8  1  0.50320300  0.04492300  0.01590700  1
  Se  Se9  1  0.49679700  0.54492300  0.48409300  1
  Se  Se10  1  0.00320300  0.45507700  0.98409300  1
  Se  Se11  1  0.99679700  0.95507700  0.51590700  1
",Ag2Se,-19.13608275,-0.128311241,0.00502677,0.1384,2.4827,2.3443,2.42549577,1.67E-05,6.19E-08,4.18E-06,0,0
